n, max flow, time, pushes, relabels
10,28,0,34,25
10,98,0,20,12
10,113,0,20,12
10,148,0,20,12
10,4,0,10,9
T. Médio,,"78,2",,
226,2921,177,13437,6976
226,3827,111,7618,5029
226,3740,285,19441,11210
226,5258,532,35635,21978
226,112,111,370,276
T. Médio,,"3171,6",,
402,7612,588,38964,21787
402,10783,1185,82530,39569
402,11261,1996,127415,70258
402,12259,1933,124920,66973
400,199,158,628,479
T. Médio,,"8422,8",,
626,13635,2157,139638,68223
626,16175,3412,214356,114468
626,12852,3472,207090,118618
626,13582,4504,275424,133070
626,312,550,982,766
T. Médio,,"11311,2",,
842,20161,890,57157,32937
842,24537,10002,579130,283681
842,19300,10279,575654,292253
842,20251,6602,356669,189143
842,420,1126,1324,1025
T. Médio,,"16933,8",,
1192,34302,15420,814146,400834
1192,36902,21601,1097870,571144
1192,31314,2494,132782,78544
1192,39516,19565,961884,486588
1192,595,2555,1898,1447
T. Médio,,"28525,8",,
1282,48201,5501,297728,153158
1282,44484,8565,455121,219795
1282,39595,24965,1221164,603208
1282,39595,25183,1221164,603208
1282,639,4540,1994,1527
T. Médio,,"34502,8",,
1484,52310,27061,1299660,634554
1484,53966,27256,1265115,665582
1484,39848,33083,1524680,750515
1484,39848,31992,1524680,750515
1484,740,6468,2388,1800
T. Médio,,"37342,4",,
1724,64478,39095,1791485,866559
1724,66825,39470,1773013,883715
1724,51879,28924,1329142,661722
1724,51879,29022,1329142,661722
1724,860,9228,2710,2087
T. Médio,,"47184,2",,
1934,72983,47032,1985709,968284
1934,77712,41809,1853351,870358
1934,61686,58523,2527223,1231713
1934,61686,59970,2527223,1231713
1934,965,10951,2982,2331
T. Médio,,"55006,4",,
2072,88482,80682,3183515,1718079
2072,84102,24989,1091940,555298
2072,66747,10136,429919,265744
2072,66747,9606,429919,265744
2072,1034,21910,3332,2504
T. Médio,,"61422,4",,
2354,96114,76140,3018665,1477068
2354,102104,94349,3689314,1871169
2354,77070,1887,77697,50204
2354,77070,1930,77697,50204
2354,1175,24427,3760,2853
T. Médio,,"70706,6",,
2550,113821,115631,4496021,2204217
2550,107540,20972,775677,551561
2550,87717,110558,4096958,1966907
2550,87717,109569,4096958,1966907
2550,1273,30803,4020,3087
T. Médio,,"79613,6",,
2758,126523,188739,6754245,3229109
2758,128184,195305,6904936,3395099
2758,101976,103249,3723509,1893061
2758,101976,105438,3723509,1893061
2758,1377,39544,4290,3322
T. Médio,,"92007,2",,
3026,158753,197285,6824015,3296597
3026,147765,188776,6473636,3200887
3026,117752,35807,1288241,708337
3026,117752,34480,1288241,708337
3026,1511,56855,4742,3649
T. Médio,,"108706,6",,
